Week,Mode of Transport,Year,VALUE
31,1,2023,752795.0
31,3,2023,828688.0
31,0,2023,4389395.0
32,2,2023,2935441.0
32,1,2023,816489.0
32,3,2023,850226.0
32,0,2023,4602156.0
33,2,2023,2989135.0
33,1,2023,845884.0
33,3,2023,818169.0
33,0,2023,4653188.0
34,2,2023,3134289.0
34,1,2023,835183.0
34,3,2023,882381.0
34,0,2023,4851853.0
35,2,2023,3266735.0
35,1,2023,910823.0
35,3,2023,948395.0
35,0,2023,5125953.0
36,2,2023,3332761.0
36,1,2023,924379.0
36,3,2023,789208.0
36,0,2023,5046348.0
37,2,2023,3558455.0
37,1,2023,984371.0
37,3,2023,945832.0
37,0,2023,5488658.0
38,2,2023,3517509.0
38,1,2023,950613.0
38,3,2023,932441.0
38,0,2023,5400563.0
39,2,2023,3595880.0
39,1,2023,894313.0
39,3,2023,974332.0
39,0,2023,5464525.0
40,2,2023,3629045.0
40,1,2023,923175.0
40,3,2023,925784.0
40,0,2023,5478004.0
41,2,2023,3492660.0
41,1,2023,933376.0
41,3,2023,912832.0
41,0,2023,5338868.0
42,2,2023,3504413.0
42,1,2023,974091.0
42,3,2023,888050.0
42,0,2023,5366554.0
43,2,2023,3043578.0
43,1,2023,811636.0
43,3,2023,824979.0
43,0,2023,4680193.0
44,2,2023,3517888.0
44,1,2023,928383.0
44,3,2023,959770.0
44,0,2023,5406041.0
45,2,2023,3311974.0
45,1,2023,900766.0
45,3,2023,900707.0
45,0,2023,5113447.0
46,2,2023,3218635.0
46,1,2023,895925.0
46,3,2023,945060.0
46,0,2023,5059620.0
47,2,2023,3453532.0
47,1,2023,941393.0
47,3,2023,942218.0
47,0,2023,5337143.0
